3 3 1 0.900 0.100 0.050
4 3 1 0.943 0.057 0.029
4 3 2 0.886 0.114 .057
4 4 1 .971 .029 .014
4 4 2 .943 .057 .029
4 4 3 .886 .114 .057
5 3 1 .964 .036 .018
5 3 2 .929 .071 .036
5 3 3 .857 .143 .071
5 4 1 .971 .029 .014
5 4 2 .968 .032 .016
5 4 3 .937 .063 .032
5 4 4 .889 .111 .056
5 5 1 .992 .008 .004
5 5 2 .984 .016 .008
5 5 3 .968 .032 .016
5 5 4 .994 .056 .028
5 5 5 .905 .095 .048
5 5 6 .849 .151 .075
6 3 1 .976 .024 .012
6 3 2 .952 .048 .024
6 3 3 .905 .095 .048
6 3 4 .833 .167 .083
6 4 1 .990 .010 .005
6 4 2 .981 .019 .010
6 4 3 .937 .063 .032
6 4 4 .933 .067 .033
6 4 5 .886 .114 .057
6 5 2 .991 .009 .004
6 5 3 .983 .017 .009
6 5 4 .970 .030 .015
6 5 5 .948 .052 .026
6 5 6 .918 .082 .041
6 5 7 .874 .126 .063
6 6 3 .991 .009 .004
6 6 4 .985 .015 .008
6 6 6 .959 .041 .021
6 6 7 .935 .065 .033
6 6 8 .907 .093 .047
6 6 9 .868 .132 .066
7 3 1 .983 .017 .008
7 3 2 .967 .033 .017
7 3 3 .933 .067 .033
7 3 4 .883 .117 .058
7 4 1 .994 .006 .003
7 4 2 .988 .012 .006
7 4 4 .958 .042 .021
7 4 5 .927 .073 .036
7 4 6 .891 .109 .055
7 5 2 .995 .005 .003
7 5 3 .990 .010 .005
7 5 6 .952 .048 .024
7 5 7 .927 .073 .037
7 5 8 .894 .106 .053
7 6 4 .992 .008 .004
7 6 5 .986 .014 .007
7 6 7 .965 .035 .018
7 6 8 .949 .051 .026
7 6 9 .927 .073 .037
7 6 10 .899 .101 .051
7 7 5 .993 .007 .004
7 7 6 .989 .011 .006
7 7 9 .962 .038 .019
7 7 10 .947 .053 .027
7 7 12 .903 .097 .049
7 7 13 .872 .128 .064
8 3 1 .988 .012 .006
8 3 3 .952 .018 .009
8 3 4 .915 .085 .042
8 3 5 .867 .133 .067
8 4 2 .994 .006 .004
8 4 3 .984 .016 .008
8 4 5 .952 .048 .024
8 4 6 .927 .073 .036
8 4 7 .891 .109 .055
8 5 3 .994 .006 .003
8 5 4 .989 .011 .005
8 5 7 .955 .045 .023
8 5 8 .935 .065 .033
8 5 9 .907 .093 .047
8 5 10 .873 .127 .064
8 6 5 .992 .008 .004
